team,opponent,result
Everton,Manchester Utd,L
Brighton and Hove Albion,Newcastle Utd,D
Aston Villa,West Ham,L
Manchester United,Arsenal,L
Newcastle United,West Ham,W
Crystal Palace,Leicester City,L
Chelsea,Manchester City,L
Tottenham Hotspur,Watford,D
Wolverhampton Wanderers,Tottenham,D
Fulham,Everton,L
Arsenal,Chelsea,W
Sheffield United,Tottenham,L
Wolverhampton Wanderers,Newcastle Utd,W
Liverpool,Everton,W
Arsenal,Aston Villa,W
Aston Villa,West Brom,D
Tottenham Hotspur,Newcastle Utd,L
Wolverhampton Wanderers,Fulham,D
Leeds United,Brentford,D
Manchester United,Aston Villa,W
Aston Villa,Nott'ham Forest,W
Bournemouth,Arsenal,L
Manchester United,Tottenham,L
Manchester United,Leicester City,D
Newcastle United,Fulham,D
Manchester United,Brighton,W
Crystal Palace,Wolves,W
Sheffield United,Newcastle Utd,L
Tottenham Hotspur,Liverpool,D
Tottenham Hotspur,Manchester City,L
Southampton,Newcastle Utd,L
Fulham,West Ham,W
Crystal Palace,Leicester City,D
Arsenal,Fulham,W
Liverpool,Chelsea,L
Wolverhampton Wanderers,Nott'ham Forest,W
Tottenham Hotspur,Norwich City,D
Manchester United,Manchester City,L
Arsenal,Watford,W
Manchester City,Leeds United,L
Brentford,Bournemouth,D
Wolverhampton Wanderers,Leicester City,L
Brighton and Hove Albion,Newcastle Utd,D
Burnley,Newcastle Utd,L
Newcastle United,Tottenham,W
Manchester United,Crystal Palace,W
Luton Town,Aston Villa,L
Sheffield United,Manchester City,L
Newcastle United,Everton,W
Brentford,Wolves,W
Tottenham Hotspur,Norwich City,W
Southampton,Burnley,W
Crystal Palace,Tottenham,L
Leeds United,Chelsea,L
Aston Villa,Newcastle Utd,L
Norwich City,Arsenal,L
Aston Villa,Newcastle Utd,W
Leeds United,Leicester City,W
Liverpool,Chelsea,D
Aston Villa,West Ham,D
Brentford,Southampton,W
Manchester City,Everton,W
Newcastle United,Brighton,D
Everton,Nott'ham Forest,W
Watford,Newcastle Utd,D
Manchester City,Wolves,L
Brentford,Brighton,L
Tottenham Hotspur,West Brom,W
Manchester United,Norwich City,W
Aston Villa,Fulham,W
Arsenal,Leeds United,D
Crystal Palace,Manchester Utd,D
Norwich City,Chelsea,L
West Ham United,Manchester City,L
Manchester United,Tottenham,W
West Ham United,Manchester Utd,W
Manchester United,Manchester City,W
Wolverhampton Wanderers,Brighton,D
Crystal Palace,Tottenham,L
Southampton,Wolves,L
Tottenham Hotspur,Bournemouth,W
Chelsea,Nott'ham Forest,W
Manchester City,Leicester City,W
Everton,Brighton,W
Manchester United,Manchester City,D
Tottenham Hotspur,Wolves,W
Brighton and Hove Albion,Crystal Palace,W
Fulham,West Brom,W
Sheffield United,Aston Villa,W
Fulham,Aston Villa,L
West Bromwich Albion,Leeds United,L
Aston Villa,Arsenal,L
Nottingham Forest,Liverpool,W
Manchester United,Sheffield Utd,W
Sheffield United,Arsenal,L
Luton Town,Liverpool,D
Liverpool,Southampton,L
Tottenham Hotspur,Leeds United,W
Aston Villa,Crystal Palace,L
Burnley,Aston Villa,D
Brighton and Hove Albion,Wolves,W
Wolverhampton Wanderers,Bournemouth,W
Arsenal,Newcastle Utd,L
Wolverhampton Wanderers,Aston Villa,W
Sheffield United,Chelsea,L
Manchester City,Crystal Palace,D
Bournemouth,Leeds United,W
Fulham,West Ham,L
Sheffield United,West Ham,W
Southampton,Leeds United,W
Norwich City,Manchester Utd,L
Aston Villa,West Ham,W
Everton,West Ham,L
Wolverhampton Wanderers,Arsenal,L
Burnley,Arsenal,D
Everton,Liverpool,D
West Ham United,Newcastle Utd,L
Sheffield United,Manchester Utd,W
Wolverhampton Wanderers,Bournemouth,L
Everton,Norwich City,W
Brighton and Hove Albion,Aston Villa,W
Manchester United,Wolves,W
Bournemouth,Newcastle Utd,D
Manchester United,Leeds United,D
Brighton and Hove Albion,West Ham,D
Bournemouth,Leicester City,W
Watford,Leicester City,D
West Bromwich Albion,Fulham,L
Leicester City,Burnley,D
Manchester United,Southampton,D
Wolverhampton Wanderers,Brighton,D
Leicester City,Leeds United,W
Liverpool,West Ham,W
Everton,Manchester City,D
Wolverhampton Wanderers,West Ham,W
Brighton and Hove Albion,Wolves,L
Southampton,Leicester City,L
Manchester City,West Ham,W
Fulham,Brighton,D
Everton,West Ham,L
Brighton and Hove Albion,Arsenal,L
Leicester City,Fulham,W
Nottingham Forest,Wolves,D
Newcastle United,Leeds United,L
Leeds United,Chelsea,D
Norwich City,Crystal Palace,D
Fulham,Manchester Utd,L
Everton,Tottenham,W
Brighton and Hove Albion,Newcastle Utd,D
Everton,Arsenal,L
Liverpool,Brentford,W
Wolverhampton Wanderers,Southampton,W
Sheffield United,Liverpool,L
Tottenham Hotspur,Liverpool,L
Tottenham Hotspur,Chelsea,L
Manchester City,Newcastle Utd,W
West Ham United,Arsenal,L
Fulham,Aston Villa,L
Newcastle United,Crystal Palace,W
Brentford,Aston Villa,D
West Ham United,Tottenham,L
West Ham United,Newcastle Utd,D
Aston Villa,Brighton,L
Southampton,Brighton,W
Fulham,Southampton,D
Wolverhampton Wanderers,Everton,D
Brighton and Hove Albion,Fulham,D
Chelsea,Everton,W
Burnley,Wolves,D
Liverpool,Chelsea,L
Brighton and Hove Albion,Norwich City,D
Arsenal,West Ham,W
Manchester City,Watford,W
Aston Villa,Manchester City,L
Brentford,Aston Villa,L
Southampton,Watford,W
Norwich City,Bournemouth,W
Aston Villa,West Ham,L
Arsenal,Crystal Palace,D
Manchester United,Luton Town,W
Everton,Aston Villa,L
Wolverhampton Wanderers,Everton,W
Nottingham Forest,Aston Villa,L
Brighton and Hove Albion,Southampton,W
Arsenal,Chelsea,L
Everton,Brighton,D
Chelsea,Norwich City,W
Manchester United,Brighton,W
Manchester United,Manchester City,L
Liverpool,Manchester City,L
West Ham United,Newcastle Utd,L
West Bromwich Albion,West Ham,L
West Ham United,Aston Villa,W
Tottenham Hotspur,Sheffield Utd,W
Fulham,Brighton,D
Newcastle United,Arsenal,W
Newcastle United,Aston Villa,W
Liverpool,Tottenham,W
Leeds United,Nott'ham Forest,L
Brighton and Hove Albion,Sheffield Utd,L
Tottenham Hotspur,Wolves,L
Liverpool,Burnley,W
Brighton and Hove Albion,Southampton,D
Liverpool,Aston Villa,W
Leicester City,Brentford,D
Newcastle United,Aston Villa,L
Sheffield United,Leicester City,L
Manchester City,Chelsea,L
Brighton and Hove Albion,Wolves,L
Tottenham Hotspur,Burnley,W
Aston Villa,Burnley,L
Aston Villa,Everton,W
Liverpool,Manchester Utd,W
Manchester United,Liverpool,L
Manchester United,Burnley,L
Liverpool,Manchester City,D
Brighton and Hove Albion,Arsenal,L
Luton Town,Aston Villa,L
Burnley,Arsenal,L
Liverpool,Fulham,W
Aston Villa,Manchester City,L
Sheffield United,Brentford,L
Crystal Palace,Arsenal,L
Leicester City,Bournemouth,L
Tottenham Hotspur,Manchester Utd,D
Arsenal,Crystal Palace,D
Sheffield United,Arsenal,L
West Ham United,Sheffield Utd,W
Fulham,Bournemouth,L
Chelsea,Leicester City,D
Newcastle United,Everton,W
Southampton,Manchester Utd,L
Liverpool,West Ham,W
Manchester City,Norwich City,W
West Ham United,Leeds United,W
Burnley,Chelsea,L
Southampton,Crystal Palace,W
Crystal Palace,Arsenal,W
Everton,Tottenham,D
Newcastle United,Wolves,D
Chelsea,Brighton,D
Sheffield United,Watford,D
Watford,Manchester City,L
Brentford,Manchester Utd,L
Wolverhampton Wanderers,West Ham,L
West Bromwich Albion,Southampton,W
Arsenal,Chelsea,W
Manchester United,Southampton,D
Crystal Palace,Wolves,L
Burnley,West Brom,D
Chelsea,Everton,W
Southampton,Leicester City,L
Southampton,Everton,L
Chelsea,West Ham,L
Brighton and Hove Albion,Fulham,D
Nottingham Forest,Fulham,W
Leicester City,Brighton,W
Aston Villa,Liverpool,L
West Ham United,Arsenal,D
Brighton and Hove Albion,Wolves,L
Brighton and Hove Albion,Everton,D
Manchester City,Fulham,W
Aston Villa,Liverpool,D
West Ham United,Crystal Palace,W
Arsenal,Manchester Utd,D
Everton,Aston Villa,L
Arsenal,Leicester City,W
Leicester City,Manchester Utd,L
Southampton,Arsenal,L
Bournemouth,Tottenham,L
Chelsea,Bournemouth,D
